| Compressor name          | Compression | Decompress. | Compr. size |  Ratio | Filename             |
| zstd 1.5.7 -3            |    254 MB/s |   1042 MB/s |     1622530 |  17.75 | extra/typescript.js  |
| lizard 2.1 -10           |    327 MB/s |   2033 MB/s |     2692261 |  29.45 | extra/typescript.js  |
| misa77 0.2.0 -0          |    101 MB/s |   7515 MB/s |     5565593 |  21.23 | extra/gharchive.json |
| misa77 0.2.0 -1          |    103 MB/s |   7012 MB/s |     5390822 |  20.56 | extra/gharchive.json |
| misa77 0.2.0 adaptive -0 |   4.43 MB/s |   8262 MB/s |     5768602 |  22.01 | extra/gharchive.json |
| misa77 0.2.0 adaptive -1 |   4.50 MB/s |   7878 MB/s |     5512380 |  21.03 | extra/gharchive.json |
| lz4 1.10.0               |    580 MB/s |   3226 MB/s |     5354662 |  20.43 | extra/gharchive.json |
| lz4hc 1.10.0 -12         |   20.7 MB/s |   4032 MB/s |     4132835 |  15.77 | extra/gharchive.json |
| lzsse4fast 2019-04-18    |    298 MB/s |   4634 MB/s |     5444696 |  20.77 | extra/gharchive.json |
| lzsse8fast 2019-04-18    |    285 MB/s |   4622 MB/s |     5460115 |  20.83 | extra/gharchive.json |
