| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename            |
| lz4 1.10.0            |    580 MB/s |   3222 MB/s |     5354662 |  20.43 | misc/gharchive.json |
| misa77 0.3.0 -0       |    102 MB/s |   7502 MB/s |     5565593 |  21.23 | misc/gharchive.json |
| misa77 0.3.0 -1       |    104 MB/s |   6997 MB/s |     5390822 |  20.56 | misc/gharchive.json |
| misa77 0.3.0 safe -0  |    102 MB/s |   7273 MB/s |     5565593 |  21.23 | misc/gharchive.json |
| misa77 0.3.0 safe -1  |    104 MB/s |   6772 MB/s |     5390822 |  20.56 | misc/gharchive.json |
| lz4hc 1.10.0 -12      |   20.7 MB/s |   4016 MB/s |     4132835 |  15.77 | misc/gharchive.json |
| lzsse4fast 2019-04-18 |    297 MB/s |   4652 MB/s |     5444696 |  20.77 | misc/gharchive.json |
| lzsse8fast 2019-04-18 |    284 MB/s |   4624 MB/s |     5460115 |  20.83 | misc/gharchive.json |
| snappy 1.2.2          |    658 MB/s |   1488 MB/s |     6147681 |  23.45 | misc/gharchive.json |
| zxc 0.13.1 -3         |    240 MB/s |   3515 MB/s |     4889623 |  18.65 | misc/gharchive.json |
| zxc 0.13.1 -4         |    190 MB/s |   3542 MB/s |     4815048 |  18.37 | misc/gharchive.json |
| zxc 0.13.1 -5         |    139 MB/s |   3728 MB/s |     4641894 |  17.71 | misc/gharchive.json |
| zstd 1.5.7 -1         |    574 MB/s |   1706 MB/s |     3015940 |  11.50 | misc/gharchive.json |
| lzav 5.11 -1          |    716 MB/s |   3672 MB/s |     3242930 |  12.37 | misc/gharchive.json |
| lz4 1.10.0            |    315 MB/s |   1521 MB/s |     2594794 |  55.94 | misc/ecoli          |
| misa77 0.3.0 -0       |   54.3 MB/s |   5588 MB/s |     2608171 |  56.23 | misc/ecoli          |
| misa77 0.3.0 -1       |   51.0 MB/s |   4501 MB/s |     2268874 |  48.91 | misc/ecoli          |
| misa77 0.3.0 safe -0  |   54.2 MB/s |   5401 MB/s |     2608171 |  56.23 | misc/ecoli          |
| misa77 0.3.0 safe -1  |   51.0 MB/s |   4376 MB/s |     2268874 |  48.91 | misc/ecoli          |
| lz4hc 1.10.0 -12      |   0.95 MB/s |   2378 MB/s |     1653833 |  35.65 | misc/ecoli          |
| lzsse4fast 2019-04-18 |    166 MB/s |   1935 MB/s |     2651490 |  57.16 | misc/ecoli          |
| lzsse8fast 2019-04-18 |    170 MB/s |   1979 MB/s |     2671334 |  57.59 | misc/ecoli          |
| snappy 1.2.2          |    378 MB/s |    745 MB/s |     2160982 |  46.59 | misc/ecoli          |
| zxc 0.13.1 -3         |   80.1 MB/s |   2259 MB/s |     2231637 |  48.11 | misc/ecoli          |
| zxc 0.13.1 -4         |   61.3 MB/s |   2313 MB/s |     2213113 |  47.71 | misc/ecoli          |
| zxc 0.13.1 -5         |   14.6 MB/s |   2669 MB/s |     1904067 |  41.05 | misc/ecoli          |
| zstd 1.5.7 -1         |    180 MB/s |    795 MB/s |     1411958 |  30.44 | misc/ecoli          |
| lzav 5.11 -1          |    234 MB/s |   1491 MB/s |     1925406 |  41.51 | misc/ecoli          |
| lz4 1.10.0            |    556 MB/s |   2210 MB/s |     4930865 |  18.81 | misc/nasa_http.log  |
| misa77 0.3.0 -0       |    155 MB/s |   9984 MB/s |     4072452 |  15.54 | misc/nasa_http.log  |
| misa77 0.3.0 -1       |    155 MB/s |   9794 MB/s |     4013975 |  15.31 | misc/nasa_http.log  |
