| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| misa77 0.6.0 safe -1  |    317 MB/s |  20385 MB/s |     5591111 |  16.66 | silesia/nci     |
| misa77 0.6.0 safe -2  |    265 MB/s |  20886 MB/s |     5447170 |  16.23 | silesia/nci     |
| misa77 0.6.0 safe -3  |   19.9 MB/s |  19464 MB/s |     4544639 |  13.54 | silesia/nci     |
| lz4hc 1.10.0 -9       |   69.8 MB/s |   9079 MB/s |     3673771 |  10.95 | silesia/nci     |
| lz4hc 1.10.0 -12      |   25.3 MB/s |   8697 MB/s |     3617512 |  10.78 | silesia/nci     |
| snappy 1.2.2          |   1852 MB/s |   6664 MB/s |     6121795 |  18.24 | silesia/nci     |
| zxc 0.13.1 -3         |    579 MB/s |  11035 MB/s |     4837924 |  14.42 | silesia/nci     |
| zxc 0.13.1 -4         |    419 MB/s |  11356 MB/s |     4762858 |  14.19 | silesia/nci     |
| zxc 0.13.1 -5         |    265 MB/s |  11373 MB/s |     4378198 |  13.05 | silesia/nci     |
| zstd 1.5.7 -1         |   1306 MB/s |   2877 MB/s |     2848578 |   8.49 | silesia/nci     |
| lzav 5.16 -1          |   1685 MB/s |   8241 MB/s |     4263239 |  12.71 | silesia/nci     |
| lzav 5.16 -2          |    391 MB/s |   9833 MB/s |     3320111 |   9.89 | silesia/nci     |
| lz4 1.10.0            |   1070 MB/s |   7782 MB/s |     6790273 |  93.63 | silesia/sao     |
| misa77 0.6.0 --1      |    579 MB/s |   6918 MB/s |     6450425 |  88.95 | silesia/sao     |
| misa77 0.6.0 -0       |    300 MB/s |   7651 MB/s |     6116758 |  84.35 | silesia/sao     |
| misa77 0.6.0 -1       |   62.0 MB/s |  12020 MB/s |     6179952 |  85.22 | silesia/sao     |
| misa77 0.6.0 -2       |   50.5 MB/s |   7358 MB/s |     5927885 |  81.74 | silesia/sao     |
| misa77 0.6.0 -3       |   20.1 MB/s |   7806 MB/s |     5839157 |  80.52 | silesia/sao     |
| misa77 0.6.0 -4       |   15.4 MB/s |  10382 MB/s |     5711450 |  78.76 | silesia/sao     |
| misa77 0.6.0 safe --1 |    580 MB/s |   6615 MB/s |     6450425 |  88.95 | silesia/sao     |
| misa77 0.6.0 safe -0  |    300 MB/s |   7410 MB/s |     6116758 |  84.35 | silesia/sao     |
| misa77 0.6.0 safe -1  |   59.0 MB/s |  11655 MB/s |     6179952 |  85.22 | silesia/sao     |
| misa77 0.6.0 safe -2  |   50.6 MB/s |   7102 MB/s |     5927885 |  81.74 | silesia/sao     |
| misa77 0.6.0 safe -3  |   19.7 MB/s |   7564 MB/s |     5839157 |  80.52 | silesia/sao     |
| lz4hc 1.10.0 -9       |   42.3 MB/s |   3756 MB/s |     5735258 |  79.09 | silesia/sao     |
| lz4hc 1.10.0 -12      |   25.4 MB/s |   4291 MB/s |     5668734 |  78.17 | silesia/sao     |
| snappy 1.2.2          |    874 MB/s |   3144 MB/s |     6437634 |  88.77 | silesia/sao     |
| zxc 0.13.1 -3         |  10719 MB/s |  69424 MB/s |     7249515 |  99.97 | silesia/sao     |
| zxc 0.13.1 -4         |    197 MB/s |  18844 MB/s |     6788513 |  93.61 | silesia/sao     |
| zxc 0.13.1 -5         |   67.1 MB/s |   7143 MB/s |     6036177 |  83.24 | silesia/sao     |
| zstd 1.5.7 -1         |    698 MB/s |   1261 MB/s |     6250010 |  86.18 | silesia/sao     |
| lzav 5.16 -1          |    676 MB/s |   4387 MB/s |     6265628 |  86.40 | silesia/sao     |
| lzav 5.16 -2          |    142 MB/s |   4264 MB/s |     5776849 |  79.66 | silesia/sao     |
| lz4 1.10.0            |    530 MB/s |   3635 MB/s |     3181387 |  48.00 | silesia/reymont |
| misa77 0.6.0 --1      |    362 MB/s |  14514 MB/s |     2984065 |  45.03 | silesia/reymont |
| misa77 0.6.0 -0       |    259 MB/s |  12957 MB/s |     2685641 |  40.52 | silesia/reymont |
| misa77 0.6.0 -1       |    149 MB/s |  13816 MB/s |     2514389 |  37.94 | silesia/reymont |
| misa77 0.6.0 -2       |    113 MB/s |  13546 MB/s |     2334745 |  35.23 | silesia/reymont |
| misa77 0.6.0 -3       |   19.3 MB/s |  13117 MB/s |     2040416 |  30.79 | silesia/reymont |
| misa77 0.6.0 -4       |   13.8 MB/s |  11258 MB/s |     1886366 |  28.46 | silesia/reymont |
| misa77 0.6.0 safe --1 |    353 MB/s |  14020 MB/s |     2984065 |  45.03 | silesia/reymont |
| misa77 0.6.0 safe -0  |    250 MB/s |  12687 MB/s |     2685641 |  40.52 | silesia/reymont |
| misa77 0.6.0 safe -1  |    149 MB/s |  13629 MB/s |     2514389 |  37.94 | silesia/reymont |
| misa77 0.6.0 safe -2  |    111 MB/s |  13128 MB/s |     2334745 |  35.23 | silesia/reymont |
| misa77 0.6.0 safe -3  |   23.0 MB/s |  13150 MB/s |     2040416 |  30.79 | silesia/reymont |
| lz4hc 1.10.0 -9       |   24.7 MB/s |   4601 MB/s |     2111095 |  31.85 | silesia/reymont |
| lz4hc 1.10.0 -12      |   12.8 MB/s |   4613 MB/s |     2063052 |  31.13 | silesia/reymont |
| snappy 1.2.2          |    709 MB/s |   2382 MB/s |     3204491 |  48.35 | silesia/reymont |
| zxc 0.13.1 -3         |    192 MB/s |   8366 MB/s |     2703538 |  40.79 | silesia/reymont |
| zxc 0.13.1 -4         |    141 MB/s |   8977 MB/s |     2596022 |  39.17 | silesia/reymont |
| zxc 0.13.1 -5         |   66.0 MB/s |   9193 MB/s |     2380537 |  35.92 | silesia/reymont |
| zstd 1.5.7 -1         |    482 MB/s |   1344 MB/s |     2149170 |  32.43 | silesia/reymont |
| lzav 5.16 -1          |    521 MB/s |   3793 MB/s |     2421892 |  36.54 | silesia/reymont |
| lzav 5.16 -2          |    188 MB/s |   4284 MB/s |     2076962 |  31.34 | silesia/reymont |
| lz4 1.10.0            |    957 MB/s |   5285 MB/s |     5256666 |  52.12 | silesia/osdb    |
| misa77 0.6.0 --1      |    691 MB/s |  11079 MB/s |     4358174 |  43.21 | silesia/osdb    |
