| Compressor name      | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| zxc 0.13.1 -5        |    269 MB/s |  11404 MB/s |     4378198 |  13.05 | silesia/nci     |
| zxc 0.13.1 -7        |   4.98 MB/s |   7745 MB/s |     3059425 |   9.12 | silesia/nci     |
| zstd 1.5.7 -1        |   1306 MB/s |   2793 MB/s |     2848578 |   8.49 | silesia/nci     |
| lzav 5.11 -1         |   1674 MB/s |   8330 MB/s |     4266147 |  12.71 | silesia/nci     |
| lzav 5.11 -2         |    356 MB/s |   9887 MB/s |     3337872 |   9.95 | silesia/nci     |
| lz4 1.10.0           |   1061 MB/s |   7798 MB/s |     6790273 |  93.63 | silesia/sao     |
| misa77 0.5.0 -0      |   61.9 MB/s |  12028 MB/s |     6179952 |  85.22 | silesia/sao     |
| misa77 0.5.0 -1      |   61.0 MB/s |   7242 MB/s |     5965605 |  82.26 | silesia/sao     |
| misa77 0.5.0 -2      |   16.6 MB/s |  10377 MB/s |     5711450 |  78.76 | silesia/sao     |
| misa77 0.5.0 safe -0 |   61.9 MB/s |  11799 MB/s |     6179952 |  85.22 | silesia/sao     |
| misa77 0.5.0 safe -1 |   61.0 MB/s |   7540 MB/s |     5965605 |  82.26 | silesia/sao     |
| lz4hc 1.10.0 -9      |   42.4 MB/s |   3859 MB/s |     5735258 |  79.09 | silesia/sao     |
| lz4hc 1.10.0 -12     |   25.4 MB/s |   4350 MB/s |     5668734 |  78.17 | silesia/sao     |
| snappy 1.2.2         |    869 MB/s |   3141 MB/s |     6437634 |  88.77 | silesia/sao     |
| zxc 0.13.1 -3        |  10446 MB/s |  65977 MB/s |     7249515 |  99.97 | silesia/sao     |
| zxc 0.13.1 -4        |    189 MB/s |  20193 MB/s |     6788513 |  93.61 | silesia/sao     |
| zxc 0.13.1 -5        |   63.7 MB/s |   7132 MB/s |     6036177 |  83.24 | silesia/sao     |
| zxc 0.13.1 -7        |   22.2 MB/s |   3132 MB/s |     5534493 |  76.32 | silesia/sao     |
| zstd 1.5.7 -1        |    692 MB/s |   1208 MB/s |     6250010 |  86.18 | silesia/sao     |
| lzav 5.11 -1         |    615 MB/s |   4052 MB/s |     6146264 |  84.75 | silesia/sao     |
| lzav 5.11 -2         |    135 MB/s |   4031 MB/s |     5790276 |  79.84 | silesia/sao     |
| lz4 1.10.0           |    530 MB/s |   3614 MB/s |     3181387 |  48.00 | silesia/reymont |
| misa77 0.5.0 -0      |    149 MB/s |  13795 MB/s |     2514389 |  37.94 | silesia/reymont |
| misa77 0.5.0 -1      |    146 MB/s |  12604 MB/s |     2368486 |  35.74 | silesia/reymont |
